Filename,Segment,WC,WPS,Sixltr,Dic,Funct,TotPron,PronPer,Yo,Nosotro,TuUtd,ElElla,Ellos,PronImp,Articulo,Verbos,VerbAux,Pasado,Present,Futuro,Adverb,Prepos,Conjunc,Negacio,Cuantif,Numeros,Maldec,verbYO,verbTU,verbNOS,verbosEL,verbELLOS,Subjuntiv,VosUtds,formal,informal,verbVos,Social,Familia,Amigos,Humanos,Afect,EmoPos,EmoNeg,Ansiedad,Enfado,Triste,MecCog,Insight,Causa,Discrep,Tentat,Certeza,Inhib,Incl,Excl,Percept,Ver,Oir,Sentir,Biolog,Cuerpo,Salud,Sexual,Ingerir,Relativ,Movim,Espacio,Tiempo,Trabajo,Logro,Placer,Hogar,Dinero,Relig,Muerte,Asentir,NoFluen,Relleno,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
jf01.txt,1,1027,"13,34","17,43","75,17","49,46","17,33","11,98","3,60","0,10","2,14","5,94","1,56","5,36","8,57","12,56","0,58","1,95","9,54","0,00","5,06","15,29","6,04","2,24","1,85","1,17","0,10","3,60","0,10","0,10","2,43","0,78","1,46","0,39","0,00","1,95","0,00","10,71","0,10","0,49","0,49","3,02","2,14","0,97","0,10","0,29","0,19","20,45","3,21","0,97","0,78","2,63","1,36","0,19","6,23","2,92","4,58","0,88","1,85","1,46","1,27","0,39","0,10","0,29","0,78","8,28","1,75","4,58","2,73","2,53","1,85","1,66","0,29","0,29","0,10","0,00","0,39","0,10","0,00","13,92","7,01","3,60","1,46","0,19","0,29","0,10","0,19","0,00","0,00","0,97","0,10"
jf012.txt,1,4021,"13,96","20,82","73,24","46,70","14,55","8,41","0,17","0,37","0,50","7,88","2,81","6,14","11,96","9,92","0,65","2,09","6,59","0,05","3,68","13,53","5,35","2,39","1,77","1,79","0,32","1,04","0,02","0,45","3,33","0,87","1,29","0,45","0,00","0,07","0,00","10,42","0,55","0,22","0,77","4,70","2,86","1,91","0,17","1,22","0,32","17,71","1,54","1,07","0,72","2,34","1,34","0,52","5,47","2,11","2,61","0,47","1,19","0,40","1,37","0,57","0,20","0,37","0,57","8,28","1,87","4,03","3,16","2,16","1,49","1,17","0,47","0,50","0,25","0,12","0,30","0,12","0,00","15,20","7,36","5,35","0,80","0,00","0,45","0,12","0,07","0,00","0,00","1,04","0,00"
jf02.txt,1,4021,"13,96","20,82","73,22","46,68","14,52","8,41","0,17","0,37","0,50","7,88","2,81","6,12","11,96","9,92","0,65","2,09","6,59","0,05","3,68","13,53","5,35","2,39","1,77","1,79","0,32","1,04","0,02","0,45","3,33","0,87","1,29","0,45","0,00","0,07","0,00","10,42","0,55","0,22","0,77","4,70","2,86","1,91","0,17","1,22","0,32","17,68","1,54","1,07","0,72","2,34","1,34","0,52","5,47","2,11","2,61","0,47","1,19","0,40","1,37","0,57","0,20","0,37","0,57","8,28","1,87","4,03","3,16","2,16","1,49","1,17","0,47","0,50","0,25","0,12","0,30","0,12","0,00","15,20","7,36","5,35","0,80","0,00","0,45","0,12","0,07","0,00","0,00","1,04","0,00"
jf03.txt,1,3928,"23,24","17,39","73,96","46,49","15,27","9,06","1,04","0,10","1,37","7,05","1,88","6,21","11,07","11,43","0,76","1,93","8,35","0,00","4,33","12,58","5,93","1,99","1,81","1,60","0,28","1,73","0,13","0,20","4,43","0,59","1,37","0,18","0,00","0,79","0,00","10,01","0,38","0,10","0,64","4,10","2,29","1,91","0,38","0,84","0,23","21,61","2,77","1,76","1,17","2,90","1,40","0,64","5,47","2,19","3,36","0,46","1,35","0,94","1,27","0,51","0,25","0,20","0,56","7,54","1,76","3,72","2,57","1,99","1,71","0,61","0,13","0,56","0,15","0,36","0,66","0,18","0,00","14,99","4,48","7,76","0,51","0,13","0,64","0,15","0,03","0,00","0,00","1,27","0,03"
jf04.txt,1,891,"27,00","17,06","80,02","45,79","16,05","8,08","0,79","0,34","0,45","7,07","2,58","7,97","9,65","12,91","1,01","0,90","10,77","0,00","5,39","11,22","6,06","2,81","1,57","3,03","0,00","1,57","0,00","0,56","5,61","0,90","1,46","0,34","0,00","0,00","0,00","13,02","1,23","0,34","2,47","5,39","2,02","3,14","0,22","2,24","0,22","25,70","3,14","3,37","2,02","3,37","1,57","0,00","4,15","1,80","2,58","1,46","0,56","0,22","1,01","0,11","0,22","0,34","0,45","6,40","2,24","3,59","2,02","1,23","0,90","0,22","0,11","1,12","0,00","0,00","0,00","0,11","0,00","19,53","6,29","7,97","0,67","0,00","0,45","0,11","0,00","3,37","0,22","0,45","0,00"
jf05.txt,1,199,"18,09","18,09","74,87","49,75","13,07","8,04","1,01","0,50","1,51","5,53","2,51","5,03","8,54","9,05","0,50","1,51","5,03","0,00","5,53","13,07","8,54","5,53","3,02","3,02","0,50","0,00","0,00","0,00","2,01","0,00","0,50","1,51","0,00","1,51","0,00","9,55","0,00","0,00","0,50","2,51","1,01","1,51","1,01","0,50","0,00","24,62","2,51","0,00","4,52","5,03","1,01","0,00","4,02","5,53","3,52","1,51","1,01","0,00","1,01","1,01","0,00","0,50","0,00","6,03","1,01","4,02","1,01","2,51","2,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","15,08","7,04","6,03","1,51","0,00","0,00","0,50","0,00","0,00","0,00","0,00","0,00"
jf06.txt,1,1399,"14,42","21,16","74,05","47,32","14,01","8,29","0,50","0,21","0,64","7,65","2,57","5,72","13,30","9,79","1,22","1,00","7,93","0,00","4,22","12,22","5,72","2,00","1,93","1,93","0,14","0,86","0,00","0,07","3,15","0,71","1,36","0,21","0,00","0,00","0,00","9,86","0,29","0,07","0,57","5,79","1,57","3,72","0,14","2,29","0,57","19,73","2,36","0,93","1,36","4,00","0,71","0,43","5,22","2,57","2,64","0,50","0,64","0,29","1,50","0,64","0,14","0,29","0,71","8,29","1,43","5,29","2,22","1,86","2,00","1,07","0,43","0,29","0,21","0,14","0,29","0,00","0,00","15,30","6,79","5,58","1,14","0,00","0,21","0,07","0,29","0,00","0,00","1,14","0,07"
jf07.txt,1,1326,"12,87","18,85","73,53","47,21","15,61","8,90","2,11","0,38","0,60","6,64","2,11","6,71","8,90","10,86","0,60","1,66","8,45","0,00","5,96","13,57","4,52","2,71","1,96","1,73","0,23","1,58","0,23","0,30","3,24","0,45","1,66","0,23","0,00","0,08","0,00","10,63","0,45","0,00","0,90","4,45","1,58","3,32","0,53","1,81","0,38","19,53","2,71","1,06","1,36","4,00","1,28","0,60","5,43","2,49","3,54","1,13","1,43","0,23","1,51","0,23","0,38","0,15","1,13","8,82","1,89","4,83","2,41","2,49","1,43","0,83","0,30","0,38","1,51","0,15","0,08","0,23","0,00","20,36","6,56","7,32","2,11","0,00","1,28","0,23","0,53","0,00","0,00","2,11","0,23"
jf08.txt,1,1549,"14,48","22,34","74,44","46,68","15,04","8,97","0,00","0,52","0,26","8,33","3,29","6,07","13,43","10,14","0,97","0,84","8,20","0,00","3,94","11,56","5,42","1,94","1,68","2,32","0,06","0,58","0,00","0,26","3,81","0,84","1,16","0,06","0,00","0,06","0,00","8,91","0,32","0,00","0,26","4,84","2,65","2,19","0,45","1,10","0,26","19,82","2,00","1,42","0,97","3,62","2,13","0,32","4,78","2,13","2,07","0,45","0,58","0,45","1,36","0,58","0,13","0,06","0,52","7,94","1,68","4,65","2,39","3,36","2,91","0,97","0,26","1,87","0,32","0,71","0,58","0,13","0,00","14,65","6,71","4,39","0,58","0,00","0,45","0,00","0,06","0,00","0,00","2,32","0,13"
jf09.txt,1,881,"33,88","25,54","66,06","44,49","13,39","8,17","0,00","0,00","0,00","8,17","1,93","5,22","16,00","6,81","0,79","2,27","3,63","0,00","2,38","15,10","3,18","0,91","0,79","1,93","0,11","0,45","0,00","0,00","2,27","0,11","1,48","0,00","0,00","0,00","0,00","5,56","0,68","0,00","0,68","3,97","2,04","1,70","0,11","1,25","0,34","15,21","1,82","1,25","0,57","0,91","1,02","0,91","6,13","1,14","1,25","0,34","0,23","0,34","0,79","0,34","0,11","0,45","0,57","7,95","2,27","4,31","2,27","2,27","2,16","0,57","0,34","0,45","0,45","0,23","0,11","0,00","0,00","9,99","3,06","6,81","0,11","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
