Filename,Segment,WC,WPS,Sixltr,Dic,Funct,TotPron,PronPer,Yo,Nosotro,TuUtd,ElElla,Ellos,PronImp,Articulo,Verbos,VerbAux,Pasado,Present,Futuro,Adverb,Prepos,Conjunc,Negacio,Cuantif,Numeros,Maldec,verbYO,verbTU,verbNOS,verbosEL,verbELLOS,Subjuntiv,VosUtds,formal,informal,verbVos,Social,Familia,Amigos,Humanos,Afect,EmoPos,EmoNeg,Ansiedad,Enfado,Triste,MecCog,Insight,Causa,Discrep,Tentat,Certeza,Inhib,Incl,Excl,Percept,Ver,Oir,Sentir,Biolog,Cuerpo,Salud,Sexual,Ingerir,Relativ,Movim,Espacio,Tiempo,Trabajo,Logro,Placer,Hogar,Dinero,Relig,Muerte,Asentir,NoFluen,Relleno,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
al01.txt,1,1156,"23,59","23,53","68,86","46,11","13,15","8,48","0,09","0,00","0,17","8,30","3,37","4,67","12,37","8,48","0,26","2,51","4,67","0,00","3,03","15,05","6,57","1,56","0,95","1,38","0,00","0,43","0,17","0,00","2,16","0,87","0,95","0,17","0,00","0,00","0,00","8,74","0,52","0,26","0,43","4,50","1,56","2,94","0,26","1,64","0,43","16,18","1,47","0,69","0,52","1,47","1,56","0,35","6,57","1,47","1,90","0,35","0,26","0,61","1,82","0,78","0,26","0,26","0,87","7,09","2,08","3,37","2,34","2,51","1,30","1,04","0,43","1,04","0,61","0,61","0,35","0,00","0,00","8,91","4,15","3,46","0,26","0,00","0,09","0,00","0,26","0,00","0,00","0,69","0,00"
al02.txt,1,1097,"17,14","23,70","73,20","48,04","13,95","7,93","0,00","0,36","0,64","7,66","2,64","6,02","11,39","10,67","1,19","1,91","7,93","0,00","4,01","13,04","7,93","2,19","1,73","2,28","0,00","0,73","0,00","0,09","3,74","1,37","1,64","0,27","0,09","0,00","0,00","9,30","0,27","0,27","0,27","4,10","1,55","2,46","0,18","0,73","0,27","19,33","2,83","1,19","0,73","2,64","0,91","0,64","6,65","1,82","2,64","0,64","0,73","0,27","2,01","0,82","0,27","0,27","1,28","6,93","1,73","4,28","1,91","3,10","3,01","0,36","0,09","1,37","0,36","0,36","0,27","0,00","0,00","9,12","5,65","2,64","0,27","0,00","0,27","0,00","0,00","0,00","0,00","0,00","0,27"
al03.txt,1,1104,"20,83","23,10","72,46","46,83","11,68","6,52","0,09","0,91","0,27","6,25","2,36","5,16","12,59","8,15","0,63","1,54","5,80","0,00","2,81","15,85","6,34","1,54","1,36","1,27","0,00","0,18","0,00","0,09","2,72","0,18","1,09","0,18","0,00","0,00","0,00","9,33","0,54","0,27","0,27","4,17","2,08","2,63","0,82","1,09","0,54","19,29","1,54","0,82","1,18","1,72","1,09","0,72","7,79","2,17","3,62","0,63","1,72","0,36","1,63","0,63","0,09","0,18","0,82","8,15","1,36","5,25","1,99","2,36","2,26","0,82","0,54","0,91","0,45","0,09","0,18","0,00","0,00","8,61","4,53","3,17","0,45","0,00","0,36","0,00","0,00","0,00","0,00","0,00","0,09"
al04.txt,1,863,"16,28","22,71","70,57","47,51","14,14","7,76","0,35","0,23","1,04","7,18","1,74","6,37","10,89","8,34","0,23","1,51","5,68","0,00","3,59","16,34","5,33","1,62","1,62","1,97","0,00","1,16","0,12","0,23","2,78","0,23","1,51","0,12","0,00","0,23","0,00","8,46","0,23","0,00","0,58","2,43","1,97","0,81","0,12","0,23","0,12","17,38","0,93","1,62","1,16","2,90","0,93","0,35","4,87","2,67","1,74","0,46","0,58","0,00","1,27","0,46","0,00","0,00","1,04","8,81","1,51","5,79","2,20","3,59","2,20","0,58","0,58","1,39","0,00","0,12","0,23","0,00","0,00","9,62","4,98","2,90","0,46","0,00","1,27","0,00","0,00","0,00","0,00","0,00","0,00"
al05.txt,1,1649,"18,74","20,92","76,59","49,06","14,25","6,97","0,00","0,73","0,73","6,85","2,30","7,28","12,98","10,73","0,97","2,55","7,58","0,00","4,12","14,61","6,55","1,21","1,82","1,09","0,00","0,85","0,00","0,61","4,18","0,24","1,21","0,00","0,00","0,00","0,00","9,34","0,85","0,61","0,24","4,85","2,06","2,67","0,97","1,82","0,12","20,32","2,49","1,21","1,09","2,06","1,70","0,36","6,67","2,91","3,52","0,73","1,33","0,12","2,18","0,73","0,00","0,49","1,21","8,73","0,97","5,70","2,43","2,85","2,49","0,61","0,24","1,09","0,85","0,24","0,24","0,00","0,00","9,22","4,49","3,52","0,36","0,00","0,85","0,00","0,00","0,00","0,00","0,00","0,00"
al06.txt,1,909,"22,73","23,32","72,94","47,30","13,86","8,69","0,00","0,00","0,44","8,58","2,64","5,17","15,07","9,13","0,55","2,09","6,71","0,00","2,20","15,62","4,73","0,77","1,65","1,21","0,00","0,77","0,00","0,11","3,52","0,66","1,87","0,11","0,00","0,11","0,00","8,80","0,22","0,33","0,44","4,29","2,97","0,88","0,22","0,33","0,00","16,17","2,20","0,44","0,33","1,32","0,77","0,66","8,36","0,99","2,86","0,77","1,21","0,22","1,43","0,55","0,33","0,00","0,66","7,70","1,10","5,06","2,42","2,42","2,64","0,77","0,55","0,66","3,19","0,11","0,11","0,00","0,00","7,37","4,07","2,64","0,33","0,00","0,33","0,00","0,00","0,00","0,00","0,00","0,00"
al07.txt,1,762,"16,21","23,75","78,08","49,87","17,06","8,27","0,26","0,00","0,26","7,87","1,84","8,79","13,25","10,10","0,39","0,92","9,19","0,00","3,54","13,91","6,04","1,57","2,10","1,44","0,13","0,79","0,00","0,13","3,41","2,23","1,71","0,39","0,00","0,00","0,00","8,79","0,52","0,13","0,26","5,51","1,97","3,67","1,31","1,71","0,26","22,05","1,44","0,52","1,71","3,15","2,62","0,92","5,38","1,57","3,15","0,39","1,44","0,79","2,10","0,79","0,66","0,13","0,66","6,04","1,44","3,41","1,57","3,41","2,62","0,39","0,26","0,66","0,26","0,39","0,66","0,00","0,00","10,50","5,38","4,33","0,00","0,00","0,79","0,00","0,00","0,00","0,00","0,00","0,00"
al08.txt,1,839,"22,08","23,00","73,90","48,39","15,14","6,56","0,00","0,12","0,83","6,56","1,67","8,58","11,92","10,73","0,95","1,55","8,58","0,00","4,17","13,59","5,48","1,79","2,74","2,03","0,00","0,60","0,00","0,24","4,41","0,83","0,83","0,24","0,00","0,00","0,00","8,58","0,36","0,00","0,48","3,10","2,03","1,31","0,36","0,60","0,48","19,31","1,67","0,24","0,60","4,05","1,67","0,83","5,96","1,19","2,98","0,36","1,43","0,48","0,95","0,24","0,36","0,00","0,48","7,51","1,55","3,46","2,74","2,74","1,91","0,36","0,12","1,31","0,24","0,36","0,12","0,00","0,00","8,22","4,41","3,58","0,12","0,00","0,12","0,00","0,00","0,00","0,00","0,00","0,00"
al09.txt,1,1161,"25,80","26,01","68,48","46,68","13,52","7,41","0,00","0,26","0,43","7,32","2,58","6,12","11,97","8,01","0,34","2,07","5,00","0,00","3,01","14,81","6,46","1,12","1,64","2,41","0,00","0,78","0,09","0,00","2,76","0,26","1,55","0,52","0,00","0,00","0,00","8,27","0,09","0,17","0,17","3,96","1,64","2,07","0,26","1,38","0,34","18,09","1,29","0,86","0,78","1,55","1,12","0,60","6,72","2,07","1,72","0,43","0,43","0,43","1,46","0,69","0,26","0,09","0,69","7,84","1,98","3,70","3,10","2,24","1,89","0,52","0,09","1,03","0,34","0,09","0,00","0,00","0,00","8,10","3,70","2,76","0,43","0,00","0,26","0,00","0,09","0,00","0,00","0,69","0,17"
al10.txt,1,1168,"16,69","23,72","72,26","47,00","12,50","6,34","0,00","0,00","0,17","6,34","2,23","6,16","12,59","8,48","0,17","1,11","6,68","0,00","3,17","14,47","6,76","1,11","1,97","2,57","0,09","0,43","0,00","0,00","2,65","0,94","1,28","0,26","0,00","0,00","0,00","7,53","0,26","0,26","0,34","2,91","1,88","1,03","0,09","0,51","0,17","19,61","1,37","0,86","0,68","3,42","1,54","0,86","6,34","2,83","2,57","0,09","1,03","0,09","2,05","0,68","0,17","0,34","0,94","8,90","1,54","5,65","2,14","3,25","3,42","1,20","0,34","1,11","0,26","0,17","0,00","0,00","0,00","10,02","5,91","2,83","0,26","0,00","0,17","0,00","0,00","0,00","0,00","0,86","0,00"
